#JD                    MAG              ERR               SURVEY Filter
2457798.816810000222  -0.013000000000   0.030000000000    ASAS-SN V
2457798.823119999841   0.037000000000   0.030000000000    ASAS-SN V
2457798.824409999885   0.037000000000   0.030000000000    ASAS-SN V
2457798.825689999852  -0.005000000000   0.028000000000    ASAS-SN V
2457800.778299999889   0.010000000000   0.023000000000    ASAS-SN V
2457800.779569999781   0.023000000000   0.023000000000    ASAS-SN V
2457800.780850000214   0.050000000000   0.024000000000    ASAS-SN V
2457803.821520000231  -0.057000000000   0.022000000000    ASAS-SN V
2457803.822809999809  -0.006000000000   0.023000000000    ASAS-SN V
2457803.824089999776  -0.009000000000   0.024000000000    ASAS-SN V
2457805.801349999849  -0.010000000000   0.024000000000    ASAS-SN V
2457805.802629999816  -0.005000000000   0.022000000000    ASAS-SN V
2457805.803890000097  -0.019000000000   0.023000000000    ASAS-SN V
2457806.814160000067   0.016000000000   0.022000000000    ASAS-SN V
2457806.815429999959   0.016000000000   0.023000000000    ASAS-SN V
2457806.816730000079   0.031000000000   0.022000000000    ASAS-SN V
2457807.804810000118  -0.042000000000   0.022000000000    ASAS-SN V
2457807.806090000086   0.002000000000   0.024000000000    ASAS-SN V
2457807.807370000053   0.002000000000   0.023000000000    ASAS-SN V
2457808.772030000109  -0.030000000000   0.032000000000    ASAS-SN V
2457808.773370000068   0.066000000000   0.042000000000    ASAS-SN V
2457808.774650000036  -0.031000000000   0.042000000000    ASAS-SN V
2457811.781030000187   0.093000000000   0.041000000000    ASAS-SN V
2457811.782310000155   0.107000000000   0.038000000000    ASAS-SN V
2457823.754420000128  -0.133000000000   0.036000000000    ASAS-SN V
2457823.755700000096  -0.095000000000   0.034000000000    ASAS-SN V
2457823.756969999988  -0.058000000000   0.036000000000    ASAS-SN V
2457825.751050000079   0.015000000000   0.039000000000    ASAS-SN V
